% Model:              countersunk_magnets.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 10 2026, 14:21
% Dimension:          3
% Nodes:              98
% Expressions:        4
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component, Magnetic flux density norm
% Length unit:        mm
% x                       y                        z                        mfnc.Bx (T) @ ramp=1     mfnc.By (T) @ ramp=1     mfnc.Bz (T) @ ramp=1     mfnc.normB (T) @ ramp=1
15                        48.274219524440184       0                        -7.816680732540628E-4    -2.163755681118949E-4    -0.07354217946139553     0.07358363501848593
15                        42.833805954091346       0                        8.6341444957584E-5       3.5380708017437336E-4    -0.08078438483644915     0.0808814296538446
15                        39.886142647511235       0                        0.002425467807733391     0.0012149000276988067    -0.08330294608905207     0.08346772059282043
15                        72.80952602516572        0                        4.069326719162798E-5     2.2076103884131665E-4    -0.03392942675699143     0.03418635869984825
15                        73.79742082220326        0                        7.431909753957191E-5     3.586668173604839E-4     -0.03289961161374581     0.03312816430099354
15                        72.80245455221487        0                        7.617260286570964E-5     2.0047906173947764E-4    -0.033900493793105224    0.034169598366573364
15                        48.50274903630722        0                        -3.3766277201866706E-4   1.9635774082151153E-4    -0.073002540541027       0.07302189352522981
15                        49.080263195039066       0                        -4.786624892942008E-4    7.420418443231858E-4     -0.07176229205191169     0.07184274155142825
15                        64.29213248635074        0                        -2.812252147023699E-4    3.804730381388316E-4     -0.04385126891132403     0.044321413739665
15                        64.31781492973852        0                        -2.48938796453621E-4     2.9145002784851555E-4    -0.04389043953877535     0.044350054367552336
15                        66.36809345219245        0                        8.783413475354541E-5     -2.4541861275458174E-5   -0.04115072992449342     0.041480674925405046
15                        52.63148301219951        0                        7.867005968870797E-4     -1.9881328728688362E-4   -0.06439648602109545     0.06453742300190413
15                        63.99502931935666        0                        -2.936144335232471E-4    4.4487833674838363E-4    -0.04429561803783755     0.04476634852787558
15                        50.106020243029576       0                        4.8297392472293574E-4    -2.214045018218133E-5    -0.06888671413354613     0.06906184654388864
15                        49.50160897117004        0                        -4.250098836204448E-4    7.140065430543259E-4     -0.07042221428879661     0.0704695164366726
15                        68.94266880833334        0                        2.9605979965547215E-4    -6.327945940625469E-4    -0.03786746382240448     0.0381401119377696
15                        77.58847340953426        0                        1.140877614027673E-4     1.0316742456268729E-4    -0.02962898133748562     0.029824097059519994
15                        80                       0                        8.634291539583801E-5     7.562849043316153E-5     -0.02776207972275572     0.027877754490136953
